feature,route,requires_auth,requires_admin,requires_finance_permission,data_source,local_validation,preview_http_check,preview_browser_check,production_http_check,production_browser_check,staging_real_data_check,migration_dependency,permission_dependency,result,blocker,evidence
login,/login,no,no,no,Supabase auth,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,env vars,none,PARTIAL,Deployment metadata unavailable,routeTree auth/login route
logout,n/a,yes,no,no,Supabase auth,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,env vars,none,PARTIAL,Browser credentials unavailable,auth-service signOut
session restoration,n/a,yes,no,no,Supabase auth session,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,env vars,none,PARTIAL,Browser credentials unavailable,AuthProvider getCurrentSession
dashboard,/,yes,no,no,CURRENT_RPC,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,financial summary RPC,canonical auth unknown,PARTIAL,Live DB unavailable,dashboardService Supabase RPC
properties list,/properties,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none identified,canonical auth unknown,PARTIAL,Deployment/browser unavailable,properties hooks/service
properties create route,/properties/new,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,entity defaults,canonical auth unknown,PARTIAL,Live DB unavailable,property create service
units list,/units,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,units status normalization,canonical auth unknown,PARTIAL,Migration application unknown,unit hooks/service
owners list,/owners,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,owner relationship foundation,canonical auth unknown,PARTIAL,Live DB unavailable,owner hooks
tenants list,/tenants,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,people/contracts schema,canonical auth unknown,PARTIAL,Live DB unavailable,tenant workspace hook
contracts list,/contracts,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,contract reconciliation migrations,canonical auth unknown,PARTIAL,Migration application unknown,contract service
contracts create route,/contracts/new,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,serial helper/entity defaults,canonical auth unknown,PARTIAL,Migration application unknown,contract form current services
financial summary,/financials,yes,no,UNKNOWN,CURRENT_RPC,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,financial RPCs,canonical auth unknown,PARTIAL,Live DB unavailable,dashboard financial RPC
invoices,/invoices,yes,no,UNKNOWN,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,payment reference/facade,canonical auth unknown,PARTIAL,Migration application unknown,financial tests passed
receipts,/receipts,yes,no,UNKNOWN,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,payment reference/facade,canonical auth unknown,PARTIAL,Browser credentials unavailable,receipt service context reads
expenses,/expenses,yes,no,UNKNOWN,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,expenses schema,canonical auth unknown,PARTIAL,Browser credentials unavailable,expense hooks/service
arrears,/arrears,yes,no,UNKNOWN,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,invoice/payment schema,canonical auth unknown,PARTIAL,Browser credentials unavailable,route exists
maintenance,/maintenance,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,maintenance table defaults,canonical auth unknown,PARTIAL,Live DB unavailable,maintenance service/hook
reports,/reports,yes,no,UNKNOWN,CURRENT_QUERY_HOOK,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,report RPC/schema,canonical auth unknown,PARTIAL,Live DB unavailable,route exists
settings,/settings,yes,no,no,CURRENT_SUPABASE_SERVICE,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,company settings migration,canonical auth unknown,PARTIAL,Browser credentials unavailable,company settings service/hook
accounting redirect,/accounting,yes,no,no,REDIRECT_ONLY,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_APPLICABLE,none,canonical auth unknown,PARTIAL,HTTP verification unavailable,route redirects to /financials
deep-link refresh,"/properties /contracts /financials /settings /accounting",mixed,no,mixed,SPA rewrite,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,auth session,PARTIAL,Deployment URL unavailable,root Vercel rewrite exists
recoverable incomplete-env diagnostics,n/a,no,no,no,Env helper,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,env vars,none,PASS,none,env fallback and client diagnostic
